rootname,x,y,flux,parallel_transfer_distance,flt_total_charge,flc_total_charge,suppression_fraction
jfnx01mhq,349.398815558645,551.7891297605127,630.5463820927255,1495.2108702394873,13895.557517751906,189.5689938039323,0.9863575827337799
jfnx01mhq,1259.99270740297,1673.0331511918544,406.37041730195006,373.96684880814564,1830.4802268620695,3872.990466875284,-1.1158329983791306
jfnx01mhq,1024.2330761006974,62.55783746833667,301.6911023055322,1984.4421625316634,11370.697227619943,12314.381122021547,-0.08299261474567743
jfnx01mhq,1847.973596460773,1367.2616961329531,230.78783255806837,679.7383038670469,1141.874199285837,787.846249207035,0.31004111512478505
jfnx01mhq,516.4533097634393,1654.05182369459,191.4526581237166,392.94817630541,1391.4967250768675,-263.5056080264844,1.1893684715728872
jfnx01mhq,2573.3916679333274,595.4848723549414,166.76867064710856,1451.5151276450586,744.1588247971723,765.6717999837474,-0.028909117878752166
jfnx01mhq,2895.5915415172904,1912.8982299839276,153.82388338653516,134.10177001607235,1876.4812045336407,339.5669622066685,0.8190405737151731
jfnx01mhq,1664.329880667844,495.41491668452187,113.7642590197308,1551.5850833154782,549.2654777884744,771.352534482568,-0.40433463539032166
jfnx01mhq,423.6302706851602,1234.0620594594527,105.7213412864641,812.9379405405473,1063.0525023352825,140.8984553584146,0.867458610888086
jfnx01mhq,3850.2528487167065,1707.3084943907083,97.72501779430917,339.69150560929165,776.1303105757662,1327.4587089294164,-0.7103554529968705
jfnx01mhq,716.3582762406419,497.91007187591055,97.28167155200802,1549.0899281240895,393.8838740143133,39.6436525231579,0.8993519279702289
jfnx01mhq,1253.238958730638,527.3128480019388,82.85124207360647,1519.6871519980612,427.33228333537835,-21.33504311295608,1.0499261205973804
jfnx01mhq,3777.797536909977,1537.9994390324875,79.91247361771475,509.00056096751246,728.6616151002706,-455.02122522627656,1.624461637331701
jfnx01mhq,4055.623770894481,1113.1080719077768,76.69628209448425,933.8919280922232,824.0372616499488,3126.8045436261764,-2.7944941195565054
jfnx01miq,3088.4189801361126,1670.1855525157912,630.8293529596981,376.8144474842088,17703.61383163642,24186.07953058735,-0.3661662393113627
jfnx01miq,1024.2675112387344,62.335803035518516,264.1643776201107,1984.6641969644816,10293.16345674478,10312.486077147221,-0.0018772285589012672
jfnx01miq,1735.00291179241,1622.940078086533,264.13402064598483,424.05992191346695,1690.7493806072555,-582.7069605389859,1.3446441957764899
jfnx01miq,4013.162436916924,1389.4649517353876,176.68981089371047,657.5350482646124,1521.8842894419438,-342.2780099583578,1.2249040957534734
jfnx01miq,3342.240780098733,750.4122444012233,117.51709237902136,1296.5877555987768,948.6675549421526,-172.58958402163373,1.1819284143560258
jfnx01miq,2081.341984736679,1064.2533183762775,113.64531028326881,982.7466816237225,1023.3515476906462,271.71822604228555,0.7344820295083733
jfnx01miq,836.7411255001845,1043.9158572967642,111.45264506930744,1003.0841427032358,401.6173933070287,-513.3466570169104,2.2781982692280134
jfnx01miq,3859.532557355302,1517.2359980056242,97.36711878308107,529.7640019943758,3637.7427774650823,2.1539574304402596,0.9994078862739324
jfnx01miq,1658.7476659575184,1324.5808130820994,84.22509908134111,722.4191869179006,835.0055372722481,714.0042487793959,0.14491076177546425
jfnx01miq,2592.032975275135,1857.4011029076967,82.56805599832963,189.59889709230333,1180.822822864753,-243.5959597890232,1.206293404118023
jfnx01miq,1173.0195521527132,1337.1576401540744,80.7590826648471,709.8423598459256,671.113820663759,-323.9591127227879,1.4827185832686012
jfnx01miq,983.4685894848842,523.2421939328467,76.23968578564437,1523.7578060671533,1642.8920950568113,-876.9688043702789,1.5337957416734378
jfnx01mkq,3088.493595604747,1670.0841231658314,629.2225248589464,376.91587683416856,14533.147211808866,20201.803977747128,-0.3900501855050509
jfnx01mkq,349.4235028889335,551.7913107858637,602.2902055972609,1495.2086892141363,415.25258430784703,383.55338890617867,0.07633714177722783
jfnx01mkq,2685.5821749532997,1809.9964107676033,501.71088089105984,237.00358923239673,3159.645792141209,2767.6098498984393,0.12407591484395375
jfnx01mkq,1024.342050310884,62.38507436016934,277.370761662572,1984.6149256398307,8028.492947780018,8072.474671094981,-0.005478204141304621
jfnx01mkq,1009.5311441580885,1013.9228382139011,127.38610577197706,1033.077161786099,1017.3647990065915,276.09680813264754,0.7286157252519028
jfnx01mkq,4017.9255197362318,1408.9656664778547,124.2731255237816,638.0343335221453,1279.4401810267113,-96.78476154758995,1.075646179464149
jfnx01mkq,2641.6845108528673,1852.8275169453286,81.15866693144316,194.17248305467137,609.6593736516728,1511.6187573264115,-1.479448069948106
jfnx01mkq,2927.6150945215863,1547.0308457784322,77.26435892436787,499.9691542215678,657.2544254860491,-61.70998671836253,1.0938905609843967
jfnx01mkq,1072.4011956522302,373.3581081272274,71.91505527085971,1673.6418918727727,566.2673514583942,286.2115920557475,0.4945645527353407
jfnx01mkq,3893.3968938126736,1845.031006995128,71.49763451277478,201.9689930048719,863.9997204806449,-92.16528474915087,1.1066728177850325
jfnx01mkq,910.573027734906,1088.9957176601654,70.14021566156683,958.0042823398346,2106.3952681137525,-1134.799378515848,1.5387399960939168
jfnx01mkq,331.1224323532465,1587.2614964292989,69.85078936173589,459.73850357070114,1027.8840815760884,-52.44567091197088,1.051022943006914
